ResponseID,Gender,Age,Edu,Duration,Freq,IR,ICU,IA,IU,IF,ICO,ICR,EOU,SyR,SyF,SyA,SyT,SyI,SySc,SrR,SrRp,SrA,SrC,SrSc,SrCp,SrP,SrCm,SrAc,SrE,SrTa
1208204,2,1,3,1,3,1.67,2.67,2.33,2.67,2,2.67,3,2.67,2.5,3,1,2,1.67,2.67,2,1.75,2.67,2,2.67,2.5,2.5,2.33,0,0.5,0.57
1208342,1,1,2,1,6,0,0,0.67,1,1,0.33,1,1,1,1,0,0,0,0,0.67,0,0,0.67,0.33,0.5,1,0.33,0,0.25,0.43
1208383,1,1,2,2,5,3,3,2.33,2.33,2.67,3,3,2.67,2.25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1209085,2,1,2,3,3,0,0.67,0.33,-0.33,-2,-0.33,0,-0.33,-1.5,-2,-0.33,0,0,1,-1,-2.75,-1.67,-0.33,-0.33,0,0,-0.33,0.67,0,0.43
1210041,2,1,2,1,5,-2,-2,-2,2.33,2.67,2.33,2.33,2.33,2.75,3,2.33,2,1.67,3,2,2,2,2,2,2,2,2,2.33,2.25,2.57
1210053,1,2,2,1,5,-1,2,2,1,0.33,1,2,1.33,1,0.33,0.67,0,0.67,2,0.67,0.25,1,1.67,1.67,1.25,0.5,0.67,0.33,-0.5,1.14
1210247,1,1,2,1,4,0.67,2.33,-0.33,3,2.67,1,2.67,1,1.25,2,2,2,3,3,1.33,0.75,0.67,2.33,2.67,2,1.5,2.67,2,1.5,1.71
1211224,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1211673,1,2,2,1,7,1.67,2,2,1.33,1.67,1.33,2,1,1.75,1.67,2,1.67,1.33,1.33,1.33,1.25,1.67,1.33,1,1.25,1,1,1.33,1.75,1.14
1213019,2,1,2,1,4,3,3,3,2.33,2.67,2,2.67,2.67,2.5,3,2.67,2.33,2,2,2.67,3,3,3,2.67,3,3,3,2.33,2.25,2.43
1213985,2,1,1,1,6,0,3,3,3,2.67,2.33,3,2.67,2.5,2.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1214346,1,1,2,1,4,1.33,1,0.67,1,0,1,1,1,0.75,1,1.33,0.67,1,2,1,1,1,1,1,1.5,1,1,1,1,1
1214360,1,2,2,1,5,2,2,1,1,1.33,2,2.67,0.67,2,2.67,1.67,2.33,1.67,2,1.67,0.75,2.33,2.67,1.67,1.5,3,2.33,1.33,1.75,2.14
1215218,1,1,2,1,7,1.33,0,1.33,0.67,0,1,1.67,1,1.75,2.33,0.67,-0.33,1,1,0,0,0,0,0,0,0,0,0,0,0
1217549,1,1,2,1,3,1,-0.33,-0.67,-1,-1,1,1.33,-2,-0.25,-1,1,0.67,1.33,3,2,1.5,1.67,1.67,2,1.75,2,2,2.33,2.75,2.14
1217799,1,2,2,1,5,0,1.33,1,1.33,1,2,1.33,1.67,1.5,1.67,0.67,0.33,0.67,0,0.67,1.25,1.67,0.67,1,0.75,0.5,1.33,2,0.25,1.71
